Date,Assigned to,Newspaper,Link,Section,Key words,Opinion adm,Opinion CDC,Briefly observation,,,,,,,,,,,
3/8/2020,J,The New York Post,https://nypost.com/2020/03/08/100-year-old-chinese-man-recovers-from-coronavirus-the-oldest-patient-to-beat-illness/,News,chinese man recovered,nada,nada,,,,,,,,,,,,
3/8/2020,J,The New York Post,https://nypost.com/2020/03/08/italian-prime-minister-orders-lockdown-of-venice-and-milan-to-stem-spread-of-coronavirus/,News,"Italy, primer minister, lockdown",nada,nada,,,,,,,,,,,,
3/8/2020,J,The New York Post,https://nypost.com/2020/03/08/shark-tank-investor-daymond-john-coronavirus-will-definitely-lead-to-a-baby-boom/,News,baby boom,nada,nada,,,,,,,,,,,,
3/8/2020,J,The New York Post,https://nypost.com/2020/03/08/heres-how-youre-transported-between-hospitals-if-youre-a-nebraska-coronavirus-patient/,News,"Nebraska, confirmed cases, transport",nada,nada,extreme measures taken to safely transport Nebraska’s first corona­virus case,,,,,,,,,,,
3/15/2020,JP,The New York Post,https://nypost.com/2020/03/15/de-blasio-orders-pause-on-visits-to-new-york-city-jails-over-coronavirus/,Metro,"correctional, suspension",nada,nada,"In times of crisis, it’s critical for our elected leaders to listen to the boots on the ground and in this case, New York City Correction Officers are the boots on the ground",,,,,,,,,,,
3/15/2020,JP,The New York Post,https://nypost.com/2020/03/15/robert-dursts-la-murder-trial-is-on-hold-due-to-coronavirus-outbreak/,News,postponement,nada,nada,"Due to concerns regarding the coronavirus/COVID-19, Judge Mark Windham has ordered that the People v. Robert Durst trial stands adjourned until April 6",,,,,,,,,,,
3/15/2020,JP,The New York Post,https://nypost.com/2020/03/15/how-yankees-are-handling-minor-leaguers-positive-coronavirus-test/,Sports,"Baseball, first case",nada,nada,"The unidentified player, according to general manager Brian Cashman, reported symptoms on Friday and did not report to camp",,,,,,,,,,,
3/15/2020,JP,The New York Post,https://nypost.com/2020/03/15/democratic-debate-to-feature-safe-distance-rule-over-coronavirus/,News,Pandemic rules,nada,nada,It’s the Democratic presidential debate: Coronavirus edition,,,,,,,,,,,
3/15/2020,JP,The New York Post,https://nypost.com/2020/03/15/biden-shows-once-and-for-all-why-he-deserves-the-democratic-nomination-goodwin/,Opinion,Biden winner,nada,nada,"Nonetheless, the debate turned out to be important and anyone who sat through what often seemed like the longest two hours in television was rewarded. The pain was not in vain.",,,,,,,,,,,
3/15/2020,JP,The New York Post,https://nypost.com/2020/03/15/washington-state-orders-all-restaurants-and-bars-to-close-over-coronavirus/,News,"temporarily close, restairants, bars",nada,nada,"These are very difficult decisions, but hours count here and very strong measures are necessary to slow the spread of the disease",,,,,,,,,,,
3/15/2020,JP,The New York Post,https://nypost.com/2020/03/15/how-masahiro-tanaka-plans-to-handle-yankees-coronavirus-uncertainty/,Sports,uncertainty,nada,nada,We’re experiencing something like this for the first time,,,,,,,,,,,
3/15/2020,JP,The New York Post,https://nypost.com/2020/03/15/nyc-bars-and-restaurants-may-be-forced-to-close-due-to-coronavirus/,Metro,close,nada,nada,"Right now, this crisis is getting a lot worse very quickly",,,,,,,,,,,
3/15/2020,JP,The New York Post,https://nypost.com/2020/03/15/american-airlines-passenger-jokes-about-coronavirus-causes-8-hour-delay/,News,Stupid man,nada,nada,People were freaked out because nobody knew what was going on,,,,,,,,,,,
3/15/2020,JP,The New York Post,https://nypost.com/2020/03/15/gatherings-of-50-or-more-people-should-be-canceled-for-8-weeks-cdc/,News,"confinement, care",nada,1,This recommendation is made in an attempt to reduce introduction of the virus into new communities and to slow the spread of infection in communities already affected by the virus,,,,,,,,,,,
3/15/2020,JP,The New York Post,https://nypost.com/2020/03/15/ny-lawmakers-will-pass-a-state-budget-must-stick-to-whats-necessary/,Opinion,basic budget,nada,nada,You may be looking at a nine-month economic slowdown across the board.,,,,,,,,,,,
3/15/2020,JP,The New York Post,https://nypost.com/2020/03/15/washington-state-orders-all-restaurants-and-bars-to-close-over-coronavirus/,News,hard,nada,nada,"These are very difficult decisions, but hours count here and very strong measures are necessary to slow the spread of the disease",,,,,,,,,,,
3/15/2020,JP,The New York Post,https://nypost.com/2020/03/15/mets-close-minor-league-facility-amid-coronavirus-fears/,Sports,Caution,nada,nada,An industry source indicated it’s likely group workouts will cease for at least two weeks,,,,,,,,,,,
3/15/2020,JP,The New York Post,https://nypost.com/2020/03/15/rockland-county-executive-ed-day-defiantly-dines-out-amid-coronavirus-panic/,Metro,"Stupidity, irresponsibility",nada,nada,There is a balance between when you can take reasonable steps to protect your health and still enjoy what this wonderful county has to offer,,,,,,,,,,,
3/15/2020,JP,The New York Post,https://nypost.com/2020/03/15/coronavirus-immune-companies-could-see-stocks-impacted-soon/,Business,"business, companies",nada,nada,We don’t see too many businesses that are immune to the fear that’s been created around the coronavirus and all the related travel and leisure implications that it has,,,,,,,,,,,
3/15/2020,JP,The New York Post,https://nypost.com/2020/03/15/us-coronavirus-testing-set-to-expand-this-week-pence-says/,News,more tests,0,nada,reached out to all 50 states to create a process that will enable all Americans who need to be tested to go to a community-based testing site outside of usual health facilities,,,,,,,,,,,
3/15/2020,JP,The New York Post,https://nypost.com/2020/03/15/queens-borough-presidents-race-suspended-amid-coronavirus-outbreak/,Metro,sensible,nada,nada,We should never put politics ahead of the health and safety of our most vulnerable,,,,,,,,,,,
3/15/2020,JP,The New York Post,https://nypost.com/2020/03/15/trump-urges-americans-not-to-hoard-groceries-amid-coronavirus-panic/,News,calming,1,nada,You don’t have to buy so much,,,,,,,,,,,
3/15/2020,JP,The New York Post,https://nypost.com/2020/03/15/nyc-tops-300-coronavirus-cases-marks-fifth-death/,Metro,sadness,nada,nada,Each of the five victims had at least one underlying health condition — including diabetes and heart disease,,,,,,,,,,,
3/15/2020,JP,The New York Post,https://nypost.com/2020/03/15/fed-cuts-interest-rates-to-near-zero-amid-coronavirus-outbreak/,News,help,nada,nada,The Fed already cut interest rates by half a percentage point on March 3 at an emergency meeting,,,,,,,,,,,
